zcta5,puma12,pop10,afact
12211,2001,878,0.078
12211,2002,10425,0.922
12222,2001,4894,0.754
12222,2002,1595,0.246
12302,1700,27125,0.983
12302,1802,457,0.017
12303,1700,19499,0.653
12303,2002,10358,0.347
12304,1700,18662,0.869
12304,2002,2820,0.131
12305,1700,5716,1
12306,1700,24883,0.971
12306,2002,753,0.029
12307,1700,7692,1
12308,1700,15335,1
12309,1700,24970,0.851
12309,2002,4373,0.149
12401,2701,295,0.008
12401,2702,34745,0.992
12404,2701,2785,0.823
12404,2702,600,0.177
12405,2100,780,1
12406,2203,716,0.87
12406,2701,107,0.13
12407,2100,173,1
12409,2701,804,1
12410,2701,397,1
12411,2702,497,1
12412,2701,673,1
12413,2100,2948,1
12414,2100,10510,1
12416,2701,277,1
12417,2702,581,1
12418,2100,537,1
12419,2702,722,1
12420,2701,363,1
12421,2203,470,1
12422,2100,339,1
12423,2100,1097,1
12424,2100,250,1
12427,2100,576,1
12428,2701,6602,1
12429,2702,281,1
12430,2100,258,0.216
12430,2203,936,0.784
12431,2100,1381,1
12432,2702,492,1
12433,2702,483,1
12434,2203,751,1
12435,2701,326,1
12436,2100,417,1
12438,2203,59,1
12439,2100,305,1
12440,2701,605,0.306
12440,2702,1375,0.694
12441,2203,47,0.412
12441,2701,67,0.588
12442,2100,953,1
12443,2702,3825,1
12444,2100,497,1
12446,2701,5061,1
12448,2701,388,1
12449,2702,3367,1
12450,2100,183,1
12451,2100,1674,1
12452,2100,213,1
12453,2702,366,1
12454,2100,297,1
12455,2203,1936,0.974
12455,2701,52,0.026
12456,2702,639,1
12457,2701,763,1
12458,2701,3232,1
12459,2203,161,1
12460,2100,277,1
12461,2701,1634,1
12463,2100,1484,1
12464,2701,1020,1
12465,2203,5,0.019
12465,2701,261,0.981
12466,2702,2471,1
12468,2100,980,0.946
12468,2203,56,0.054
12469,403,93,0.137
12469,2002,553,0.817
12469,2100,31,0.046
12470,2100,536,1
12471,2702,215,1
12472,2702,1572,1
12473,2100,861,1
12474,2203,1162,1
12475,2702,354,1
12477,2701,4,0
12477,2702,18783,1
12480,2100,65,0.103
12480,2701,569,0.897
12481,2701,1356,1
12482,2100,680,1
12483,2701,259,1
12484,2701,39,0.014
12484,2702,2694,0.986
12485,2100,865,1
12486,2702,1523,1
12487,2702,3268,1
12489,2701,1292,1
12490,2702,110,1
12491,2702,1675,1
12492,2100,271,1
12493,2702,495,1
12494,2701,764,1
12495,2701,265,1
12496,2100,1634,1
12498,2701,3877,0.799
12498,2702,974,0.201
12501,2801,2457,1
12502,2100,1164,1
12503,2100,775,1
12504,2801,1395,1
12507,2801,167,1
12508,2802,19880,1
12512,2802,127,1
12513,2100,651,1
12514,2801,2938,1
12515,2702,1549,1
12516,2100,1833,1
12517,2100,509,1
12518,2901,5870,1
12520,2901,3109,1
12521,2100,1644,1
12522,2801,5172,1
12523,2100,1798,1
12524,2802,15598,1
12525,2702,3311,1
12526,2100,3686,1
12527,2802,147,1
12528,2702,13344,1
12529,2100,2859,1
12530,2100,124,1
12531,2801,2067,0.574
12531,2802,882,0.245
12531,3101,652,0.181
12533,2801,3610,0.143
12533,2802,21642,0.855
12533,3101,55,0.002
12534,2100,17867,1
12538,2801,14578,1
12540,2801,7792,0.999
12540,2802,10,0.001
12542,2702,5670,0.959
12542,2901,243,0.041
12543,2901,2977,0.992
12543,2902,24,0.008
12545,2801,4763,1
12546,2100,190,0.063
12546,2801,2849,0.937
12547,2702,2891,1
12548,2702,1494,1
12549,2901,7844,0.769
12549,2902,2357,0.231
12550,2901,54447,1
12553,2901,24438,1
12561,2702,18308,1
12563,3101,8084,1
12564,2801,7338,1
12565,2100,1487,1
12566,2701,664,0.062
12566,2702,5324,0.495
12566,2901,9,0.001
12566,2902,4756,0.442
12567,2100,411,0.144
12567,2801,2443,0.856
12569,2801,9826,1
12570,2801,7699,1
12571,2100,721,0.073
12571,2801,9197,0.927
12572,2801,9123,1
12574,2801,329,1
12575,2901,2184,0.967
12575,2902,74,0.033
12577,2901,1224,0.603
12577,2903,805,0.397
12578,2801,2411,1
12580,2801,4402,1
12581,2801,2246,1
12582,2801,2265,0.366
12582,2802,3897,0.629
12582,3101,29,0.005
12583,2100,755,0.308
12583,2801,1696,0.692
12585,2801,885,1
12586,2702,12,0.001
12586,2901,12246,0.977
12586,2902,282,0.022
12589,2702,13836,0.803
12589,2901,3331,0.193
12589,2902,61,0.004
12590,2801,496,0.014
12590,2802,34606,0.986
12592,2801,1486,1
12594,2801,4275,1
12601,2801,4556,0.105
12601,2802,38842,0.895
12603,2801,9225,0.215
12603,2802,33585,0.785
12604,2802,586,1
12701,2701,11324,1
